公司名称,职位,工作地点,薪资,发布时间
智能驾驶软件测试工程师,东风汽车集团有限公司技术中心,武汉,,5月5日
软件测试工程师 体系工程师,江苏汇智通高信息科技有限公司,异地招聘,4-8千/月,5月4日
高级软件测试工程师-HADYF,北京四维图新科技股份有限公司,异地招聘,0.8-1.6万/月,5月3日
软件测试工程师/样本图像采集工程师,中通服软件科技有限公司,武汉-洪山区,0.8-1万/月,4月29日
软件测试/手机平板,中软国际科技服务有限公司,武汉,0.7-1万/月,4月28日
软件测试开发（前端方向）高级,北京中庆现代技术股份有限公司湖北分公司,武汉-洪山区,0.6-1.2万/月,4月25日
软件测试工程师（互联网产品）,武汉锐昊泰科技有限公司,武汉-洪山区,4.5-6千/月,4月19日
软件测试工程师+周末双休,云臻智慧（武汉）科技有限公司,武汉-洪山区,6-8千/月,4月2日
软件测试 工程师（黑盒测试）,荆州恒隆汽车技术（检测）中心,武汉,0.6-1万/月,3月31日
软件测试工程师（交换机-武汉）,迈普通信技术股份有限公司,武汉,1-1.5万/月,3月27日
软件开发软件测试工程师,沈阳亚诗达科技有限公司,武汉,0.6-1万/月,3月27日
验证工程师,北京三维天地科技有限公司武汉分公司,武汉-洪山区,6-8千/月,5月24日
电子测试工程师,武汉深蓝纬图智能科技有限公司,武汉-江夏区,4-8千/月,5月24日
Unity3D程序开发-高级,武汉北极光数字科技有限公司,武汉-武昌区,0.8-1万/月,5月24日
高级测试工程师,武汉全品教育科技有限公司,武汉,6-8千/月,4月16日
高级软件工程师+双休,武汉固德超前高新科技研发有限公司,武汉-洪山区,20-30万/年,5月24日
应用/密码测评网络安全工程师,湖北东方网盾信息安全技术有限公司,武汉-武昌区,6-8万/年,5月24日
急聘测试工程师,武汉璟丰科技有限公司,武汉-东湖新技...,3-4.5千/月,5月24日
测试工程师（互联网）,武汉合力亿捷科技有限公司,武汉-江汉区,3-5千/月,5月24日
软件开发.net,武汉飞天智能工程有限责任公司,武汉-江汉区,0.8-1万/月,5月24日
市场/品牌策划专员,武汉齐物科技有限公司,武汉-洪山区,6-8千/月,5月24日
测试主管,湖北天业云商网络科技有限公司,武汉,1-1.5万/月,3月25日
系统工程师,武汉新时通信息技术有限公司,武汉-江岸区,4.5-6千/月,4月30日
高级测试工程师(143233),湖北盛天网络技术股份有限公司,武汉,0.8-1.3万/月,5月24日
功能测试工程师,南京市秦淮区巩向明软件开发工作室,武汉-东西湖区,4.5-6千/月,5月23日
游戏测试工程师,武汉升鹏科技有限公司,武汉-洪山区,4-8千/月,5月20日
图像算法应用开发工程师,武汉大千信息技术有限公司,武汉-洪山区,5-8千/月,5月24日
测试部经理,重庆睿景信息技术有限公司,异地招聘,0.8-1.5万/月,5月24日
电子工程师,武汉洛特福动力技术有限公司,武汉,0.5-1万/月,5月24日
软件培训讲师+周末双休,武汉正厚软件技术有限公司,武汉-江夏区,1-1.5万/月,5月24日
测试经理,北京爱康云医疗科技有限公司,武汉-硚口区,1.3-1.8万/月,5月21日
物联网工程师,千里马机械供应链股份有限公司,武汉-东西湖区,6-8千/月,5月11日
电力电子软件工程师,武汉海亿新能源科技有限公司,武汉,1-1.5万/月,5月24日
武汉正维电子技术有限公司2019届校园招聘,武汉正维电子技术有限公司,武汉-洪山区,0.5-1万/月,5月24日
软件工程师,武汉希萌科技有限公司,武汉-江岸区,0.5-1万/月,5月13日
资深测试工程师(012618),神州数码（中国）有限公司,武汉-洪山区,1.1-1.5万/月,5月24日
Web 前端开发工程师,武汉网信安全技术股份有限公司,武汉-洪山区,0.8-1.6万/月,5月24日
C#工程师,德润特数字影像科技（北京）有限公司,武汉,1-2万/月,5月24日
项目实施工程师,北京世纪九州软件有限公司,武汉,0.8-1.5万/月,5月24日
信息管理岗,湖北九州通供应链管理有限公司,武汉-汉阳区,5-7千/月,5月24日
软件设计工程师,深圳同耕科技股份有限公司,武汉-汉阳区,4-9千/月,5月24日
JAVA软件实习、周末双休+包午餐+提供住宿,武汉世纪盛邦管理咨询合伙企业（有限合伙）,武汉-汉阳区,4.5-6千/月,5月24日
JAVA工程师,武汉奋进电力技术有限公司,武汉-江夏区,0.6-1.2万/月,5月24日
大数据测试工程师,北京亚鸿世纪科技发展有限公司,武汉,0.5-1.5万/月,5月24日
中级数据测试工程师（互联网大健康项目）,武汉光谷国际广场有限公司,武汉-东湖新技...,0.6-1万/月,5月24日
产品测试工程师,湖北颐和世家科技有限公司,武汉-江汉区,6-8千/月,3月30日
中级Web测试工程师,亚尔迪（厦门）科技有限公司武汉分公司,武汉-洪山区,6.5-9千/月,5月24日
燃料电池测试软件工程师,武汉东湖氢能源产业投资有限公司,武汉,15-30万/年,5月24日
IT信息维护,华润塞力斯（武汉）医疗科技有限公司,武汉-东西湖区,4.5-6千/月,5月24日
电控软件工程师,武汉高起企业管理咨询有限公司,武汉,1-1.5万/月,5月24日
初级测试工程师,武汉东智科技股份有限公司,武汉-武昌区,2.5-3.5千/月,5月20日
APP测试工程师,维书信息科技（上海）有限公司,武汉,0.8-1万/月,5月20日
软件工程师-中级,上海以朴信息科技有限公司,武汉-武汉经济...,0.7-1.2万/月,5月24日
游戏测试主管,武汉乐谷在线科技有限公司,武汉-洪山区,0.5-1万/月,5月24日
C++软件工程师,武汉联宇技术股份有限公司,武汉-江夏区,6-8千/月,5月24日
APP及Web测试工程师,武汉明昉网络科技有限公司,武汉-汉阳区,6-8千/月,5月24日
测试工程师（整机）,武汉宁润软件信息技术有限公司,武汉-东湖新技...,0.5-1.2万/月,5月24日
嵌入式软件工程师-便携式仪器,武汉市农业科学技术研究院农业环境安全检测研究所,武汉-洪山区,1.2-1.5万/月,5月24日
高级java研发工程师,武汉联宇技术股份有限公司,武汉-江夏区,10-15万/年,5月24日
Software engineer,苏州联讯仪器有限公司,异地招聘,0.6-1万/月,5月24日
软件实施工程师,湖北九州通达科技开发有限公司,武汉-汉阳区,4.5-8千/月,5月24日
自动化测试工程师,中软国际科技服务有限公司,武汉-东湖新技...,1.1-1.3万/月,5月5日
技术支持/测试工程师,深圳英龙华通科技发展有限公司,武汉,6-8千/月,5月24日
嵌入式软件开发工程师,广州粤嵌通信科技股份有限公司武汉分公司,武汉-洪山区,4.5-6千/月,5月22日
嵌入式软件工程师（应用方向）,武汉能钠智能装备技术股份有限公司,武汉,1-1.8万/月,5月24日
中级测试工程师,武汉英卡科技有限公司,武汉-洪山区,5-7千/月,5月14日
武汉测试工程师,宝牧科技（天津）有限公司,武汉-洪山区,3.5-6千/月,5月24日
QA工程师,台达电子企业管理（上海）有限公司武汉分公司,武汉,1-1.5万/月,5月8日
软件开发工程师,武汉思古科技有限公司,武汉-武昌区,6-8千/月,5月21日
ERP实施顾问（供应链方向）,用友网络科技股份有限公司湖北分公司,武汉-武昌区,0.6-1万/月,5月24日
全栈开发工程师,武汉天喻信息产业股份有限公司,武汉,1.2-1.7万/月,5月22日
系统实施工程师,凯乐士科技有限公司,武汉,4-6千/月,5月24日
信息化,中建幕墙有限公司,武汉-蔡甸区,4.5-6千/月,5月24日
网络安全测试+光谷+高薪15-30K,武汉九逸通网络科技有限公司,武汉-洪山区,1.5-2万/月,5月24日
软件工程师 软件开发  （五险一金）,武汉亚为电子科技有限公司,武汉-洪山区,4.5-6千/月,5月24日
嵌入式软件工程师,武汉芯宸嵌入式技术有限公司,武汉-洪山区,1-1.8万/月,3月27日
C++讲师（双休）,武汉软帝信息科技有限责任公司,武汉-洪山区,0.9-1.5万/月,5月24日
软件运维工程师,南京市秦淮区巩向明软件开发工作室,武汉-东西湖区,4.5-6千/月,5月24日
电子软件开发工程师,湖北东峻工贸有限公司,武汉-武汉经济...,0.8-1.5万/月,5月24日
现场实施工程师,上海易溯信息科技股份有限公司,武汉,5-8.5千/月,5月24日
高级软件运维工程师（YW002）,武汉东浦信息技术有限公司,武汉,0.9-1.2万/月,5月24日
售后技术支持工程师,武汉佳软信息技术有限公司,武汉,4.5-6千/月,5月24日
高级Java开发工程师,武汉同德兴信息技术有限公司,武汉,10-15万/年,5月24日
产品测试员,北京东土科技股份有限公司,异地招聘,3.5-5千/月,5月24日
金融银行测试工程师,北京捷科智诚科技有限公司,武汉,0.8-1.3万/月,5月24日
用户界面设计师,湖北图灵海际信息技术有限公司,武汉,4-5千/月,5月24日
系统测试工程师,武汉高德红外股份有限公司,武汉,6-8千/月,5月23日
面销/网销/电销+AI智能产品+月均9K,武汉市泰信捷资产管理有限公司,武汉-洪山区,0.8-1万/月,5月23日
后装产品测试工程师,武汉极目智能技术有限公司,武汉-东湖新技...,0.8-1.5万/月,5月23日
性能测试工程师,深圳市蓝泰源信息技术股份有限公司,武汉-江夏区,0.7-1.2万/月,5月24日
软件研发工程师,武汉光谷航天三江激光产业技术研究院有限公司,武汉,10-15万/年,4月24日
售后客服,武汉富思特创新信息技术有限公司,武汉-东湖新技...,3-4.5千/月,5月23日
软件项目经理,湖北中巽泰科技有限公司,武汉,1-1.5万/月,5月23日
UI游戏设计+食宿+提成,幻维动力（武汉）网络科技有限公司,武汉-洪山区,6-8千/月,5月23日
高级测试工程师（湖南怀化上班）,湖南优美兴科技发展集团有限公司,异地招聘,0.9-1.3万/月,5月23日
Java高级软件开发工程师（武汉）,艾普工华科技（武汉）有限公司,武汉,12-30万/年,5月23日
嵌入式软件工程师（安卓/协议/POS机）,中山市南朗镇雄胜机电设备维修店,武汉-江夏区,0.8-1.2万/月,5月23日
研发测试工程师（软件）,武汉精能电子技术有限公司,武汉,0.6-1万/月,5月23日
初级手机测试工程师,北京湛腾世纪科技有限公司,武汉,4-7千/月,5月23日
电子工程师/Electronics (Firmware/Hardware),桥链（珠海保税区）企业管理顾问有限公司,异地招聘,0.8-1.5万/月,5月23日
账户资源测试员（外贸行业）,武汉飞猫环球商贸有限公司,武汉-洪山区,3-4.5千/月,5月23日
测试开发高级工程师,华砺智行（武汉）科技有限公司,武汉,0.8-1.5万/月,5月23日
DSP开发工程师（软件）,武汉南华工业设备工程股份有限公司,武汉,0.8-1.2万/月,5月23日
RD2-测试工程师（武汉）,深圳银澎云计算有限公司,武汉,1-1.5万/月,5月23日
上位软件工程师,航天科工深圳（集团）有限公司,异地招聘,7-9千/月,5月23日
C#开发工程师,武汉比邻科技发展有限公司,武汉-武昌区,0.6-1万/月,5月23日
游戏测试,金百胜网络科技（武汉）有限公司,武汉-洪山区,3-4.5千/月,5月23日
手机游戏测试,上海扬讯计算机科技有限责任公司,武汉,3-4.5千/月,5月23日
测试实习生,南京市秦淮区巩向明软件开发工作室,异地招聘,3-4.5千/月,5月24日
Java开发工程师,杭州时聚科技有限公司,异地招聘,2-2.5万/月,5月19日
测试工程师/测试经理,迪爱斯信息技术股份有限公司,武汉-洪山区,0.6-1.5万/月,5月23日
高级软件工程师（大数据）,武汉久乐科技有限公司,武汉,0.6-2万/月,5月23日
研发QA经理,必圈信息技术（湖北）有限公司,武汉-江夏区,0.8-1.5万/月,5月23日
.Net高级软件工程师,湖北PCB直卖网电子商务有限公司,武汉-洪山区,0.8-1万/月,5月23日
