公司名称,职位,工作地点,薪资,发布时间
急招软件测试助理双休+五险,湖北华奥星空体育产业联盟发展有限公司,武汉-武昌区,4.5-6.5千/月,5月23日
软件测试工程师（实习+住宿）,湖北华奥星空体育产业联盟发展有限公司,武汉-武昌区,4.5-7千/月,5月23日
软件测试工程（五险一金 班车 年终奖）,湖北百旺金赋科技有限公司,武汉-东湖新技...,0.7-1万/月,5月23日
软件测试讲师,武汉虫师科技有限公司,武汉-洪山区,1-1.5万/月,5月23日
初级软件测试助理+5k+双休,湖北华奥星空体育产业联盟发展有限公司,武汉-武昌区,4.5-6.5千/月,5月23日
初级Java软件测试（双休）,湖北省零度银色冰雪实业有限公司,武汉-青山区,4.5-7.5千/月,5月23日
软件测试工程师（2019届毕业生）,南京问持新能源科技有限公司,武汉-汉阳区,4.5-6千/月,5月23日
Java初级APP软件测试实习生,南京问持新能源科技有限公司,武汉-汉阳区,4.5-6千/月,5月23日
软件测试实习生/助理（朝九晚六）,南京问持新能源科技有限公司,武汉-汉阳区,4.5-6千/月,5月23日
软件测试工程师/助理（双休+五险一金）,南京问持新能源科技有限公司,武汉-汉阳区,4.5-6千/月,5月23日
金融软件测试工程师,南京问持新能源科技有限公司,武汉-江夏区,5-9千/月,5月23日
Quality Assurance 软件测试工程师,上海其易信息科技有限公司武汉分公司,武汉-洪山区,3-8千/月,5月23日
软件测试实习生（朝九晚六 提供住宿 双休）,武汉捌加柒科技有限公司,武汉,4.5-6千/月,5月23日
电商软件测试工程师,南京问持新能源科技有限公司,武汉-江夏区,4.5-9千/月,5月23日
医疗软件测试工程师,南京问持新能源科技有限公司,武汉-江夏区,4-8千/月,5月23日
高级软件测试工程师（云计算）,烽火通信科技股份有限公司,武汉,20-30万/年,5月22日
软件测试工程师（高级）,维书信息科技（上海）有限公司,武汉,1.2-1.6万/月,5月20日
初级软件测试工程师,维书信息科技（上海）有限公司,武汉-武昌区,5-7千/月,5月20日
软件测试工程师（五险一金）,武汉瑞迪时代软件技术有限公司,武汉-东湖新技...,4-5千/月,4月30日
软件测试工程师-武汉-01795,京北方信息技术股份有限公司,武汉,0.8-1.2万/月,4月26日
软件测试 工程师（白盒测试）,荆州恒隆汽车技术（检测）中心,武汉,0.6-1万/月,3月31日
软件测试 工程师（自动化测试）,荆州恒隆汽车技术（检测）中心,武汉,0.6-1万/月,3月31日
软件测试工程师-武汉-01535,京北方信息技术股份有限公司,武汉,0.8-1万/月,3月28日
测试工程师（英语方向）,武汉蓝筹科技有限公司,武汉-洪山区,6-8千/月,5月24日
APP测试工程师（地铁直达）,杭州财人汇网络股份有限公司武汉分公司,武汉-江汉区,0.5-1万/月,5月24日
软件调试工程师,武汉飞天智能工程有限责任公司,武汉-江汉区,4-6千/月,5月24日
技术测试工程师,九江银行股份有限公司,武汉-江夏区,,5月24日
高级测试工程师/经理,武汉智云时代信息技术有限公司,武汉,0.8-1万/月,5月24日
测试讲师,武汉正厚软件技术有限公司,武汉-江夏区,1-1.5万/月,5月24日
软件培训讲师,武汉正厚软件技术有限公司,武汉-江夏区,1-1.5万/月,5月24日
项目助理/测试助理（实习）,杭州友声科技股份有限公司,武汉-东西湖区,2-3千/月,5月24日
中/高级自动化测试工程师（武汉）,杭州友声科技股份有限公司,武汉-东西湖区,0.7-1.2万/月,5月24日
电力电子工程师,武汉海亿新能源科技有限公司,武汉,1-1.5万/月,5月24日
测试总监,武汉美美咖科技有限公司,武汉,1.5-2万/月,5月24日
Java软件工程师实习生,湖北华奥星空体育产业联盟发展有限公司,武汉-洪山区,4-6千/月,5月24日
双休初级java 开发实习,湖北昭华慧成健康科技有限公司,武汉-汉阳区,4.5-7.5千/月,5月24日
嵌入式工程师（物联网方向）,武汉蓝筹科技有限公司,武汉-洪山区,6-8千/月,5月24日
中高级软件工程师,武汉固德超前高新科技研发有限公司,武汉-洪山区,6-8千/月,5月24日
高级测试经理（互联网大健康项目）,武汉光谷国际广场有限公司,武汉-东湖新技...,0.8-1.3万/月,5月24日
初级测试工程师（互联网大健康项目）,武汉光谷国际广场有限公司,武汉-东湖新技...,4-6千/月,5月24日
高级测试工程师（互联网大健康项目）,武汉光谷国际广场有限公司,武汉-东湖新技...,0.8-1.3万/月,5月24日
高级功能测试,上海固锦信息技术有限公司,武汉-江汉区,1-1.5万/月,5月24日
项目经理（急招）,武汉迈力特通信有限公司,武汉-江夏区,8-10万/年,5月24日
燃料电池控制器软件工程师,武汉东湖氢能源产业投资有限公司,武汉,15-30万/年,5月24日
系统维护文员,武汉盛帆电子股份有限公司,武汉,6-8千/月,5月24日
移动应用软件高级测试工程师,上海七圣网络科技有限公司,武汉-洪山区,0.6-1.2万/月,5月24日
CAD评测工程师,广州中望龙腾软件股份有限公司,武汉-洪山区,6-8千/月,5月24日
网络产品测试工程师,湖北盛天网络技术股份有限公司,武汉,6-8千/月,5月24日
嵌入式软件工程师（驱动方向）,武汉能钠智能装备技术股份有限公司,武汉,1.2-1.8万/月,5月24日
性能测试工程师-武汉-01731,京北方信息技术股份有限公司,武汉,0.8-1.3万/月,5月24日
Mobile APP 自动化测试,博彦科技股份有限公司,武汉-江夏区,1-1.5万/月,5月24日
2019届校园招聘研发工程师,武汉虹信技术服务有限责任公司,武汉,0.7-1.2万/月,5月24日
测试工程师(武汉研究所),浙江宇视科技有限公司,武汉-洪山区,0.6-1.2万/月,5月24日
运维工程师,上海易溯信息科技股份有限公司,武汉,5-9千/月,5月24日
中级运维咨询顾问（ZN01）,武汉东浦信息技术有限公司,武汉,0.8-1万/月,5月24日
高级测试工程师（ZN01）,武汉东浦信息技术有限公司,武汉,0.9-1.2万/月,5月24日
电气自动化转IT,武汉虫师科技有限公司,武汉-洪山区,4.5-6千/月,5月24日
机械转IT,武汉虫师科技有限公司,武汉-洪山区,4.5-6千/月,5月24日
数据运维工程师,上海陆杰电子科技有限公司武汉研发中心,武汉,3-4.5千/月,5月24日
数据专员,上海陆杰电子科技有限公司武汉研发中心,武汉,3-4.5千/月,5月24日
电机控制器软件工程师,武汉菱电汽车电控系统股份有限公司,武汉,7-8千/月,5月24日
游戏测试工程师/测试专员,武汉闲玩网络科技有限公司,武汉-武昌区,4.5-6千/月,5月24日
专利工程师,武汉安天信息技术有限责任公司,武汉,4-8千/月,5月24日
产品测试工程师（伺服产品）,武汉华中数控股份有限公司,武汉,0.8-1万/月,5月24日
应用开发软件工程师,武汉华中数控股份有限公司,武汉,0.8-1.5万/月,5月24日
产品开发工程师,武汉华中数控股份有限公司,武汉,6-8千/月,5月24日
前装产品测试工程师,武汉极目智能技术有限公司,武汉-东湖新技...,0.8-1.5万/月,5月23日
ADAS测试工程师,武汉极目智能技术有限公司,武汉-东湖新技...,0.8-1.5万/月,5月23日
应届生首选 软件开发 测试员 双休 餐补,湖北华奥星空体育产业联盟发展有限公司,武汉-洪山区,4.5-6千/月,5月23日
web前端助理年底双薪（无经验也可）,湖北华奥星空体育产业联盟发展有限公司,武汉-洪山区,4.5-6千/月,5月23日
前端开发实习生 转正+晋升,湖北华奥星空体育产业联盟发展有限公司,武汉-洪山区,4-6千/月,5月23日
助理业务顾问（制造行业）（武汉研发中心）,甘棠软件系统（上海）有限公司,武汉,15-20万/年,5月23日
销售转IT实习生+双休五险一金,武汉虫师科技有限公司,武汉-洪山区,4.5-6千/月,5月23日
行政文员转IT实习生,武汉虫师科技有限公司,武汉-洪山区,4.5-6千/月,5月23日
五险+双休+测试开发实习生,武汉虫师科技有限公司,武汉-洪山区,6-8千/月,5月23日
Java软件开发工程师,湖北华奥星空体育产业联盟发展有限公司,武汉-洪山区,3-4.5千/月,5月23日
急招WEB前端开发助理/实习生,湖北华奥星空体育产业联盟发展有限公司,武汉-洪山区,4-6千/月,5月23日
五险+双休+软件开发工程师实习生,武汉虫师科技有限公司,武汉-洪山区,6-8千/月,5月23日
五险一金+双休+IT行业+实习生,武汉虫师科技有限公司,武汉-洪山区,4.5-6千/月,5月23日
高级自动化测试讲师（可***）,武汉虫师科技有限公司,武汉-洪山区,1000元/天,5月23日
Java软件开发工程师（武汉）,艾普工华科技（武汉）有限公司,武汉,8-15万/年,5月23日
软件系统测试工程师,南京问持新能源科技有限公司,武汉-江夏区,4-8千/月,5月23日
五险/住宿java实习生,湖北华奥星空体育产业联盟发展有限公司,武汉-洪山区,3-4.5千/月,5月23日
开发测试工程师,武汉睿智视讯科技有限公司,武汉-东湖新技...,1-2万/月,5月23日
数据测试工程师,武汉盛华伟业科技股份有限公司,武汉-洪山区,3-4.5千/月,5月23日
集成测试工程师,郑州三友软件科技有限公司,武汉-洪山区,1-1.5万/月,5月23日
急聘手机软件开发工程师,武汉随胜智能科技有限公司,武汉-洪山区,0.8-1万/月,5月23日
测试员（可实习 双休 朝九晚六 提供住宿）,武汉捌加柒科技有限公司,武汉,6-8千/月,5月23日
测试员/助理/实习生（双休 朝九晚六 提供住宿）,武汉捌加柒科技有限公司,武汉,3-4.5千/月,5月23日
测试员/助理/实习生,武汉随胜智能科技有限公司,武汉-洪山区,4.5-6千/月,5月23日
测试员（可实习）,武汉随胜智能科技有限公司,武汉-洪山区,6-8千/月,5月23日
变速箱标定工程师,东风格特拉克汽车变速箱有限公司,武汉,0.8-1万/月,5月11日
数据标注实习生,武汉盈力科技股份有限公司,武汉,2-3千/月,5月23日
BIM三维建模工程师实习生,武汉简亦新科技有限公司,武汉-江夏区,2-3千/月,5月23日
跟踪器（DSP方向）,武汉高德红外股份有限公司,武汉,0.8-1万/月,5月23日
导弹电气设计,武汉高德红外股份有限公司,武汉,1-1.5万/月,5月23日
酒店产品专员,武汉市胜意科技发展有限公司,武汉-江夏区,0.6-1.2万/月,5月23日
国际机票产品专员,武汉市胜意科技发展有限公司,武汉-江夏区,0.6-1.2万/月,5月23日
产品助理,武汉市胜意科技发展有限公司,武汉-江夏区,0.5-1万/月,5月23日
产品专员,武汉市胜意科技发展有限公司,武汉-江夏区,0.5-1万/月,5月23日
驱动工程师,中船重工（武汉）凌久电子有限责任公司,武汉-洪山区,13-20万/年,5月22日
GNSS算法工程师,湖北高通空间技术有限责任公司,武汉-洪山区,1-1.5万/月,5月22日
测试工程师（宽带产品）,烽火通信科技股份有限公司,武汉-江夏区,0.8-1万/月,5月22日
软件工程师（C++后台）,烽火通信科技股份有限公司,武汉,0.8-1万/月,5月22日
软件工程师（测试）,烽火通信科技股份有限公司,武汉,10-15万/年,5月22日
软件测评工程师,湖北星野科技发展有限公司,武汉-武昌区,4-6千/月,5月22日
渗透测试工程师,湖北星野科技发展有限公司,武汉,4-6千/月,5月22日
文档工程师,武汉易游顶峰数字科技有限公司,武汉-洪山区,4-8千/月,5月22日
项目助理,武汉易游顶峰数字科技有限公司,武汉-洪山区,4.5-6千/月,5月22日
软件开发工程师-初级,武汉光庭信息技术股份有限公司,武汉-东湖新技...,4-7千/月,5月22日
仪表测试工程师（日语）,武汉光庭信息技术股份有限公司,武汉-东湖新技...,6-8千/月,5月22日
高级测试工程师（测试TL）,武汉光庭信息技术股份有限公司,武汉-东湖新技...,0.8-1.2万/月,5月22日
初级测试工程师（自动驾驶相关）,武汉光庭信息技术股份有限公司,武汉-东湖新技...,5-8千/月,5月22日
嵌入式初级软件开发工程师,广州粤嵌通信科技股份有限公司武汉分公司,武汉-洪山区,4.5-6千/月,5月21日
移动通信工程师/手机协议测试工程师,中软国际科技服务有限公司,武汉,0.9-1.5万/月,5月21日
产品管理工程师,深圳英龙华通科技发展有限公司,武汉,6-8千/月,5月21日
Java高级开发工程师,深圳市中电电力技术股份有限公司,武汉-江夏区,1-1.5万/月,5月21日
软件工程师(Windows平台、C#/C++方向) 武汉,深圳市中电电力技术股份有限公司,武汉-江夏区,0.8-1.6万/月,5月21日
产品运营/客服实习生,武汉全品教育科技有限公司,武汉,2-3千/月,5月21日
可穿戴系统硬件工程师-024,武汉联影医疗科技有限公司,武汉,1.1-2.2万/月,5月20日
可穿戴系统硬件工程师-W19-86,武汉联影医疗科技有限公司,武汉,,5月20日
技术支持,武汉东智科技股份有限公司,武汉-武昌区,2.5-3.5千/月,5月20日
Android测试经理,诚迈科技（武汉分公司）—武汉诚迈科技有限公司,武汉-东湖新技...,1.2-1.8万/月,5月20日
Android测试工程师,诚迈科技（武汉分公司）—武汉诚迈科技有限公司,武汉-东湖新技...,0.8-1.2万/月,5月20日
高级自动化测试（PYTHON）,武汉嘟比科技有限公司,武汉-武昌区,1-1.4万/月,5月20日
后台测试工程师,维书信息科技（上海）有限公司,武汉,0.7-1万/月,5月20日
测试工程师(J10390),上海华测导航技术股份有限公司,武汉,0.7-1.2万/月,5月20日
工程测试工程师,武汉虹信通信技术有限责任公司,武汉-江夏区,0.8-1万/月,5月20日
网优技术类-中国通信建设第三工程局有限公司,中国通信服务股份有限公司,武汉,,5月18日
白盒测试工程师,湖北航天信息技术有限公司,武汉-武昌区,1-1.5万/月,5月17日
QA项目管理专员,湖北航天信息技术有限公司,武汉-武昌区,4.5-6千/月,5月17日
测试工程师-网关武汉(J10473),北京天融信科技有限公司,武汉,0.8-1万/月,5月16日
测试，java，web实习生,安徽百得思维信息科技有限公司,武汉-洪山区,2-3千/月,5月14日
功能测试-武汉-05248,武汉佰钧成技术有限责任公司,武汉,4.5-5.9千/月,5月13日
VCU软件开发工程师,武汉中原电子集团有限公司中原科创电子分公司,武汉-江夏区,0.7-1.2万/月,5月13日
BMS软件开发工程师,武汉中原电子集团有限公司中原科创电子分公司,武汉-江夏区,0.7-1.2万/月,5月13日
测试认证工程师,上海伟世通汽车电子系统有限公司武汉分公司,武汉-武汉经济...,0.4-1万/月,5月13日
PHP开发工程师,武汉瑞码联信信息技术有限公司,武汉-洪山区,6-8千/月,5月13日
测试经理/高级测试工程师,千里马机械供应链股份有限公司,武汉-东西湖区,1.2-1.5万/月,5月11日
嵌入式软件开发,武汉高思光电科技有限公司,武汉-江夏区,1-1.5万/月,5月9日
2020届应届大学生招聘（电子软件类）-武汉分公司,上汽通用汽车有限公司武汉分公司,武汉-江夏区,10-13万/年,5月9日
手机测试工程师,北京湛腾世纪科技有限公司,武汉,6-9千/月,5月9日
工业物联网应用及平台QA经理,台达电子企业管理（上海）有限公司武汉分公司,武汉,20-35万/年,5月8日
网络测试工程师,武汉美康源医药有限公司,武汉-武昌区,3.5-4.5千/月,5月8日
.NET中高级开发工程师,武汉策微信息科技有限公司,武汉-洪山区,0.5-1.2万/月,5月7日
高级开发工程师（.net）高薪,武汉策微信息科技有限公司,武汉-洪山区,0.5-1万/月,5月7日
软件实习工程师,中清控(武汉)科技有限公司,武汉-东西湖区,2-3千/月,5月6日
web测试工程师,武汉速云星博信息技术有限公司,武汉-洪山区,1-1.5万/月,5月6日
电控功能安全工程师,东风汽车集团有限公司技术中心,武汉,,5月5日
电控系统基础软件工程师,东风汽车集团有限公司技术中心,武汉,,5月5日
电控系统测试工程师,东风汽车集团有限公司技术中心,武汉,,5月5日
IT Test Team Leader（工作在天津）,捷信消费金融有限公司,异地招聘,1.5-2万/月,5月4日
IT Test Automation  Engineer（工作地点为天津）,捷信消费金融有限公司,异地招聘,1-1.5万/月,5月4日
IT QA Senior Analyst（工作地天津）,捷信消费金融有限公司,异地招聘,1-1.5万/月,5月4日
IT QA Analyst（工作地为天津）,捷信消费金融有限公司,异地招聘,,5月4日
性能测试工程师-技术中心-武汉,科大讯飞股份有限公司,武汉,1.5-2万/月,4月28日
测试开发工程师-技术中心-武汉,科大讯飞股份有限公司,武汉,1.5-2万/月,4月28日
卡产品高级测试工程师,武汉天喻信息产业股份有限公司,武汉,0.8-1万/月,4月24日
系统集成部署工程师-ZNYF（武汉）,北京四维图新科技股份有限公司,武汉-洪山区,1-2.5万/月,4月17日
数据测试工程师-ZNYF（武汉）,北京四维图新科技股份有限公司,武汉-洪山区,0.8-1.5万/月,4月17日
自动化测试工程师-ZNYF（武汉）,北京四维图新科技股份有限公司,武汉-洪山区,1-2万/月,4月17日
QA/质量管理,武汉英思博锐科技有限公司,武汉-汉阳区,4-5千/月,4月12日
"赴日就业-技术开发（java,net,asp,C/C++等各种方向）",杭州时聚科技有限公司,武汉,3-4万/月,4月10日
嵌入式驱动工程师,武汉芯宸嵌入式技术有限公司,武汉-洪山区,1-1.8万/月,4月3日
质量保证工程师,荆州恒隆汽车技术（检测）中心,武汉,0.6-1万/月,3月31日
高级测试工程师（CTY04）,湖北省楚天云有限公司,武汉,1.5-2万/月,3月30日
供应链—高级测试开发工程师,杭州海康威视数字技术股份有限公司,异地招聘,1.2-1.8万/月,3月27日
供应链-高级测试开发工程师(视觉方向),杭州海康威视数字技术股份有限公司,异地招聘,1.2-1.8万/月,3月27日
图像算法应用开发实习生,武汉大千信息技术有限公司,武汉-洪山区,1.5-4千/月,5月24日
小程序加盟代理，销售创业新商机,山东微程信息技术有限公司,武汉,1.5-3万/月,5月23日
