公司名称,职位,工作地点,薪资,发布时间
软件测试工程师（中级）,武汉北科天翼信息科技股份有限公司,武汉,5-7千/月,05-22
软件测试工程师(Anroid方向),北京易途客信息技术有限公司武汉分公司,武汉-江汉区,3-7千/月,05-22
软件测试工程师（通信传输设备）,烽火通信科技股份有限公司,武汉-洪山区,15-20万/年,05-22
软件测试工程师（武汉研发中心  证券行业）,福建顶点软件股份有限公司,武汉,0.5-1万/月,05-22
手术机器人软件测试工程师,武汉联影医疗科技有限公司,武汉,,05-20
软件测试工程师（初级）,维书信息科技（上海）有限公司,武汉-武昌区,3-7千/月,05-20
助理软件测试工程师,深圳市惟新科技股份有限公司,武汉,3-5千/月,05-20
高级软件测试工程师(J10581),朗新科技股份有限公司,武汉-洪山区,0.8-1.5万/月,05-19
软件测试工程师(000406)（武汉）,软件与服务中心,武汉,,05-18
软件测试工程师（科大讯飞）,上海微创软件股份有限公司,武汉,6-8千/月,05-17
银行软件测试工程师,武汉汉思信息技术有限责任公司,武汉-江夏区,0.4-1万/月,05-17
